RegionCode,RegionName,Okrug
RU-ALT,Алтайский край,СФО
RU-AMU,Амурская область,ДФО
RU-ARK,Архангельская область,СЗФО
RU-AST,Астраханская область,ЮФО
RU-BEL,Белгородская область,ЦФО
RU-BRY,Брянская область,ЦФО
RU-VLA,Владимирская область,ЦФО
RU-VGG,Волгоградская область,ЮФО
RU-VLG,Вологодская область,СЗФО
RU-VOR,Воронежская область,ЦФО
RU-YEV,Еврейская автономная область,ДФО
RU-ZAB,Забайкальский край,СФО
RU-IVA,Ивановская область,ЦФО
RU-IRK,Иркутская область,СФО
RU-KB,Кабардино-Балкарская Республика,СКФО
RU-KGD,Калининградская область,СЗФО
RU-KLU,Калужская область,ЦФО
RU-KAM,Камчатский край,ДФО
RU-KC,Карачаево-Черкесская Республика,СКФО
RU-KEM,Кемеровская область,СФО
RU-KIR,Кировская область,ПФО
RU-KOS,Костромская область,ЦФО
RU-KDA,Краснодарский край,ЮФО
RU-KYA,Красноярский край,СФО
RU-KGN,Курганская область,УФО
RU-KRS,Курская область,ЦФО
RU-LEN,Ленинградская область,СЗФО
RU-LIP,Липецкая область,ЦФО
RU-MAG,Магаданская область,ДФО
RU-MOW,Москва,ЦФО
RU-MOS,Московская область,ЦФО
RU-MUR,Мурманская область,СЗФО
RU-NEN,Ненецкий авт.округ,СЗФО
RU-NIZ,Нижегородская область,ПФО
RU-NGR,Новгородская область,СЗФО
RU-NVS,Новосибирская область,СФО
RU-OMS,Омская область,СФО
RU-ORE,Оренбургская область,ПФО
RU-ORL,Орловская область,ЦФО
RU-PNZ,Пензенская область,ПФО
RU-PER,Пермский край,ПФО
RU-PRI,Приморский край,ДФО
RU-PSK,Псковская область,СЗФО
RU-AD,Республика Адыгея,ЮФО
RU-AL,Республика Алтай,СФО
RU-BA,Республика Башкортостан,ПФО
RU-BU,Республика Бурятия,СФО
RU-DA,Республика Дагестан,СКФО
RU-KL,Республика Калмыкия,ЮФО
RU-KR,Республика Карелия,СЗФО
RU-KO,Республика Коми,СЗФО
RU-ME,Республика Марий Эл,ПФО
RU-MO,Республика Мордовия,ПФО
RU-SA,Республика Саха (Якутия),ДФО
RU-SE,Республика Северная Осетия,СКФО
RU-TA,Республика Татарстан,ПФО
RU-TY,Республика Тыва,СФО
RU-KK,Республика Хакасия,СФО
RU-ROS,Ростовская область,ЮФО
RU-RYA,Рязанская область,ЦФО
RU-SAM,Самарская область,ПФО
RU-SPE,Санкт-Петербург,СЗФО
RU-SAR,Саратовская область,ПФО
RU-SAK,Сахалинская область,ДФО
RU-SVE,Свердловская область,УФО
RU-SMO,Смоленская область,ЦФО
RU-STA,Ставропольский край,СКФО
RU-TAM,Тамбовская область,ЦФО
RU-TVE,Тверская область,ЦФО
RU-TOM,Томская область,СФО
RU-TUL,Тульская область,ЦФО
RU-TYU,Тюменская область,УФО
RU-UD,Удмуртская Республика,ПФО
RU-ULY,Ульяновская область,ПФО
RU-KHA,Хабаровский край,ДФО
RU-KHM,Ханты-мансийский авт.округ,УФО
RU-CHE,Челябинская область,УФО
RU-CE & RU-IN,Чеченская Республика и Республика Ингушетия,СКФО
RU-CU,Чувашская Республика,ПФО
RU-CHU,Чукотский авт.округ,ДФО
RU-YAN,Ямало-ненецкий авт.округ,УФО
RU-YAR,Ярославская область,ЦФО
